127.0.0.1, 2018-01-16 15:20:10, GET, /, HTTP/1.1, 303, 0.001124
127.0.0.1, 2018-01-16 15:20:12, GET, /welcome/default/index, HTTP/1.1, 200, 1.529779
127.0.0.1, 2018-01-16 15:20:12, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000729
127.0.0.1, 2018-01-16 15:20:12, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000663
127.0.0.1, 2018-01-16 15:20:12, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000719
127.0.0.1, 2018-01-16 15:20:12, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000700
127.0.0.1, 2018-01-16 15:20:12, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000771
127.0.0.1, 2018-01-16 15:20:12, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000644
127.0.0.1, 2018-01-16 15:20:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000644
127.0.0.1, 2018-01-16 15:20:13, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000767
127.0.0.1, 2018-01-16 15:20:13, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000667
127.0.0.1, 2018-01-16 15:20:13, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001278
127.0.0.1, 2018-01-16 15:20:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.008716
127.0.0.1, 2018-01-16 15:20:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000656
127.0.0.1, 2018-01-16 15:20:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000628
127.0.0.1, 2018-01-16 15:20:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000634
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.624387
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/default/index, HTTP/1.1, 200, 0.166933
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.000715
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.000729
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.000700
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.000979
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000705
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000721
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000666
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002066
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000663
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000663
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000707
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000664
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000661
127.0.0.1, 2018-01-16 15:20:21, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.010568
127.0.0.1, 2018-01-16 15:20:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000452
127.0.0.1, 2018-01-16 15:20:25, POST, /admin/default/index, HTTP/1.1, 303, 0.047085
127.0.0.1, 2018-01-16 15:20:26, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.389660
127.0.0.1, 2018-01-16 15:20:26, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.000673
127.0.0.1, 2018-01-16 15:20:26, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.000666
127.0.0.1, 2018-01-16 15:20:26, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.000731
127.0.0.1, 2018-01-16 15:20:26, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.000692
127.0.0.1, 2018-01-16 15:20:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000404
127.0.0.1, 2018-01-16 15:20:31, GET, /admin/default/index, HTTP/1.1, 303, 0.009177
127.0.0.1, 2018-01-16 15:20:31, GET, /admin/default/site, HTTP/1.1, 200, 0.116908
127.0.0.1, 2018-01-16 15:20:32, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.001189
127.0.0.1, 2018-01-16 15:20:32, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.000701
